week,value
2022-1,44315
2022-2,44586
2022-3,45126
2022-4,45126
2022-5,45126
2022-6,45194
2022-7,45564
2022-8,45892
2022-9,46463
2022-10,46680
2022-11,46694
2022-12,47222
2022-13,47524
2022-14,47524
2022-15,47524
2022-16,47524
2022-17,47524
2022-18,47524
2022-19,47524
2022-20,47524
2022-21,47524
2022-22,47524
2022-23,47524
2022-24,47524
2022-25,47524
2022-26,47524
2022-27,47524
2022-28,47524
2022-29,47524
2022-30,47524
2022-31,47524
2022-32,47524
2022-33,47524
2022-34,47524
2022-35,47524
2022-36,47524
2022-37,47524
2022-38,47524
2022-39,47524
2022-40,47524
2022-41,47524
2022-42,47524
2022-43,47524
2022-44,47524
2022-45,47524
2022-46,47524
2022-47,47524
2022-48,47524
2022-49,47524
2022-50,47524
2022-51,47524
2022-52,47524
2023-1,47524
2023-2,47524
2023-3,47524
2023-4,47524
2023-5,47524
2023-6,47524
2023-7,47524
2023-8,47524
2023-9,47524
2023-10,47524
2023-11,47524
2023-12,47524
2023-13,47524
2023-14,47524
2023-15,47535
2023-16,47878
2023-17,47965
2023-18,47965
2023-19,48022
2023-20,48428
2023-21,48452
2023-22,48629
2023-23,48629
2023-24,48629
2023-25,48629
2023-26,48629
2023-27,48629
2023-28,48629
2023-29,48629
2023-30,48629
2023-31,48629
2023-32,48629
2023-33,48629
2023-34,48629
2023-35,48629
2023-36,48629
2023-37,48629
2023-38,48629
2023-39,48629
2023-40,48629
2023-41,48629
2023-42,48629
2023-43,48629
2023-44,48629
2023-45,48629
2023-46,48629
2023-47,48629
2023-48,48629
2023-49,48629
2023-50,48629
2023-51,48629
2023-52,48629
